Tipo;Medio General;Medio Específico;Título;Resumen;Fecha Emisión;Valorización;Cm2;Duración;Página;Personajes;Candidatos 2016;Tono;Mes Emisión																				
Web;Expreso;expreso.com.pe;Evaluarán posible violación de neutralidad electoral de Ollanta Humala;Según un informe del coordinador de fiscalización del Jurado Electoral Especial (JEE) Lima Centro 1	 Leonel Concha Montoya	 “habría una posible vulneración al principio de neutralidad electoral” cometida por Ollanta Humala	 presidente constitucional de la República. (...) Al día siguiente	 en la ceremonia de lanzamiento de un proyecto de ampliación de agua potable en Villa María del Triunfo	 asoció a un candidato presidencial con “programas truchos”. “Les ofrecían el ‘agua para todos’ y al final era ‘coima para todos’”	 dijo Humala en alusión al programa inaugurado en el gobierno de Alan García. Aunque ayer (jueves)	 Ollanta Humala volvió a hablar de la corrupción en el gobierno fujimorista (1990- 2000). “Estamos criticando	 como tenemos todo el derecho a criticar	 lo bueno o lo malo que se ha hecho en gestiones anteriores”	 se justificó. También minimizó un informe de la asociación civil Transparencia	 según el cual Qali Warma fue la entidad pública que	 a través del Twitter	 transgredió más veces la prohibición de publicidad estatal en período electoral.;25/12/2015;52;;0;;Ollanta Moisés Humala Tasso;Alan García Pérez;Negativo;2015-12							
Medio Impreso;Perú 21;Perú 21;Ausencia Cultural II - David Flores-Hora;Continuando la reflexión de la semana pasada	 vale la pena aclarar que ninguno de los documentos consultados es un plan oficial de gobierno. Sin embargo	 dejan en claro el desinterés por vincular cultura con la política estatal. – Fuerza Popular (Keiko Fujimori). Cultura es lo más lejano para la hija del dictador. Resulta extraño que quien lidera las encuestas no tenga –a la fecha– ninguna propuesta (en economía	 seguridad	 lucha contra la corrupción	 servicios públicos	 etc.) que pueda difundir en su portal. Partido Aprista Peruano (Alan García Pérez). Esta agrupación es la única –de las consultadas– que incluye en su portal un resumen de su plan de gobierno. Lamentablemente	 es fechado en enero de 2010 y –obviamente– no hace alusión a políticas culturales. Perú Posible (Alejandro Toledo). En su página web el único documento que alude a cultura es el estatuto del partido (noviembre de 2014)	 el cual lejos de ser una propuesta de gobierno	 es un documento interno que define la doctrina de un proyecto político que languidece constantemente.;12/12/2015;1063.9;106.37;0;21;David Flores Hora;Alan García Pérez;Neutro;2015-12											
Medio Impreso;La Razón;La Razón;Nacionalismo pide investigar a PPK;La bancada oficialista considerdó necesario investigar a los presuntos lobbies en el sur del país de Pedro Pablo Kuczynski	 así como el origen del financiamiento de su campaña.;15/12/2015;748.03;127.14;0;2;Julia Teves Quispe;Pedro Pablo Kuczynski Godard;Negativo;2015-12																			
Medio Impreso;Diario Uno;Diario Uno;Escandaloso blindaje a Keiko;En una escandalosa sesión	 la Comisión de Fiscalización del Congreso rechazó el pedido de citar a Keiko Fujimori con el fin de que responda a los cuestionamientos por los aportes que recibió Fuerza Popular en la campaña electoral del 2011. El resultado fue nueve votos en contra de que la candidata presidencial sea convocada al grupo parlamentario y cinco a favor. La bancada oficialista votó junto a Yehude Simon y Heriberto Benítez a favor de la fiscalización a la hija de Alberto Fujimori	 mientras que los miembros del PPC	 Concertación Parlamentaria (apristas) y Fuerza Popular (fujimotistas) se manifestaron en contra.;10/12/2015;5164.64;338.23;0;5;Nadine Heredia Alarcón;Keiko Fujimori Higuchi;Negativo;2015-12																	
Radio;Exitosa;Juan Carlos Tafur en Exitosa;Pablo Secada: “Keiko Fujimori no tiene liderazgo” (Exitosa);Titular. El dirigente del PPC	 Pablo Secada	 sostuvo que la candidata presidencial Keiko Fujimori no tiene liderazgo. Agregó que no ve un Gobierno en manos de la líder de Fuerza Popular.;21/12/2015;24.57;;13;;Pablo Secada;Keiko Fujimori Higuchi;Negativo;2015-12																		
Medio Impreso;Diario Uno;Diario Uno;Negocios y alianzas a última hora;Antes que se cierre el plazo en el Jurado Nacional Elecciones para que se inscriban las alianzas electorales	 los partidos políticos parecían que estaban en un mercado electoral	 comprando y haciendo jales de última hora para formar las alianzas que les permita pasar la valla electoral. (...) Renuncia. Muchas alianzas no son bien recibidas y terminan generando algunas divisiones. Eso fue lo que pasó tras la anunciada alianza entre el Apra y el PPC. Una situación similar pasó ante la alianza entre Somos Perú de Fernando Andrade y Alianza Por el Progreso de César Acuña. Esa unión concretada entre gallos y media noche y tras varias horas de negociaciones entre los líderes de esos partidos	 y sin la participación de los demás dirigentes	 motivó que el alcalde de Miraflores	 Jorge Muñoz	 renuncie de manera irrevocable a Somos Perú (...) Keiko Fujimori	 candidata de Fuerza Popular	" dijo que no realizará alianza pero si tendrá acuerdos con movimientos regionales y les deseo la mejor de las suertes a las agrupaciones políticas que han decidido enfrentar este proceso electoral con alianzas. """"""Aprovecho para desearle la mejor de las suertes para las alianzas"	" hemos visto en los medios de comunicación que se inscriben"""""""	 sostuvo.;13/12/2015;4414.96;402.25;0;4;Alexander Martín Kouri Bumachar;Alan García Pérez;Neutro;2015-12										
Medio Impreso;Expreso;Expreso;El JNE exhorta a Humala a respetar neutralidad electoral;El presidente del Jurado Nacional de Elecciones (JNE)	 Francisco Távara	 señaló ayer que el presidente Ollanta Humala debe respetar el principio de neutralidad durante la campaña electoral	 y lo exhortó a dar el ejemplo. Esto lo dijo debido alas continuos pronunciamientos por parte del mandatario que aluden alas gobiernos del actual candidato por Alianza Popular	 Alan García	 y del ex presidente Alberto Fujimori. El titular del JNE también se pronunció sobre el procedimiento iniciado al partido Alianza para el Progreso de César Acuña	 por el presunto uso de recursos de sus universidades para su campaña electoral.;30/12/2015;2737.54;446.18;0;4;Francisco Artemio Távara Córdova;Pedro Pablo Kuczynski Godard;Neutro;2015-12														
"Web;La República;larepublica.pe;Daniel Urresti: """"""El PPC ha firmado una alianza con la mafia"""""";El precandidato del Partido Nacionalista"	 Daniel Urresti	 se refirió a la alianza electoral entre el APRA y el PPC	 de cara a los comicios de 2016	 y tuvo duras críticas para Alan García y Lourdes Flores. (...) Asimismo	 el exministro del Interior opinó sobre el candidato de Alianza Para el Progreso (APP)	 César Acuña	 y criticó la forma en que financia su campaña.;13/12/2015;1014.43;;0;;Daniel Belizario Urresti Elera;Alan García Pérez;Negativo;2015-12													
"Web;Exitosa;exitosadiario.pe;Villarán participará en elecciones: """"""Quiero evitar que el fujimorismo regrese"""""";La exalcaldesa de Lima"	 Susana Villarán	 anunció hoy que ha decidido participar en las próximas elecciones generales. Detalló que está en conversaciones con varios partidos políticos. A través de su página en Facebook	 Villarán adelantó que hará todo lo que esté en sus manos para evitar que la candidata Keiko Fujimori llegue a ser presidenta de la República. “Pondré mi energía	 mi pasión	 mi vida	 mi chalina verde de la esperanza en ese empeño”	 puntualizó. Villarán	 quien hace unos días renunció a Fuerza Social	 reveló que ya ha conversado con los líderes políticos César Acuña	 Pedro Pablo Kuczynski	 Alfredo Barrenechea	 Ántero Flores-Aráoz y Yehude Simon. Precisó que hoy hará lo propio con Julio Guzmán.;12/12/2015;71.5;;0;;Susana María del Carmen Villarán de la Puente;Alfredo Barnechea García;Neutro;2015-12								
"Medio Impreso;Ojo;Ojo;Nadine raja de los candidatos;Nadine Heredia dijo que el expresidente Alberto Fujimori y su hija Keiko """"""están jugando en pared"""""" porque """"""no se sabe quién va a ser el candidato. """"""Hay poca claridad sobre quién dirige la campaña"""""". Esto luego de la carta que envió Fujimori desde prisión. Sobre la alianza entre el Partido Aprista (Alan García) y el PPC (Lourdes Flores Nano)"	" la calificó como un """"""sancochado"	 un cambalache. Cuántos votos me das	 cuántos votos no me das. Si me sumas o no me sumas votos''	 dijo Nadine.;19/12/2015;411.36;48.47;0;8;Nadine Heredia Alarcón;Alan García Pérez;Negativo;2015-12																
Web;Perú 21;peru21.pe;Y cayó PPK... - Juan José Garrido;Si el primer salto de César Acuña en la intención de voto (del 4% al 9%) no tenía una clara explicación (la salida de Urresti	 o la suma de votos de los candidatos “chicos”	 o parte de esto más un poco de ppkausas)	 este segundo salto (del 9% al 12%) sí tiene un claro donante: Pedro P. Kuczynski. Mientras que el resto de candidatos se mantiene en su línea desde noviembre	 PPK cae estrepitosamente	 de 19% al 14%.;09/12/2015;1874.83;248.01;0;;Juan José Garrido;Pedro Pablo Kuczynski Godard;Neutro;2015-12															
Web;Gestión;gestion.pe;Renuncia de PPK a nacionalidad estadounidense debe seguir un proceso	 según embajador de EE.UU.;El embajador de Estados Unidos en el Perú	 Brian A. Nichols	 informó hoy que la renuncia de Pedro Pablo Kuczynski a la nacionalidad estadounidense debe seguir aún un proceso complicado. “Es un proceso complicado	 requiere de varios pasos y en el caso de cualquier persona no puedo hacer alguna referencia específica por los derechos de privacidad que tienen todas las personas que se tratan con nosotros”	 declaró a la prensa.;03/12/2015;295.49;;0;;Brian A. Nichols;Pedro Pablo Kuczynski Godard;Neutro;2015-12															
Medio Impreso;Exitosa;Exitosa Diario;Simon chotea a Toledo y le abre puerta a Villarán;En diálogo con Exitosa	 el líder del Partido Humanista	 Yehude Simon	 reveló que el expresidente Alejandro Toledo lo visitó para discutir una posible alianza con su agrupación	" pero éste le respondió que no era posible. """"""’La visita de Toledo ha sido de cortesía y amistad"	 pero de todas maneras le agradezco que nos haya considerado (...) En el partido decidimos no hacer alianzas porque queremos tener nuestra propia identidad y personalidad	" y luego hacer todo el esfuerzo posible para ganar"""""""	 anotó. (...) En tanto	 el vocero de la bancada de Dignidad y Democracia	 Justiniano Apaza	 pidió a los dirigentes de diversas agrupaciones de izquierda que concreten acuerdos con el Frente Amplio	 representado por Verónika Mendoza	 para la formación de una alianza.;12/12/2015;1735.67;199.69;0;3;Justiniano Rómulo Apaza Ordóñez;Verónika Mendoza Frisch;Neutro;2015-12								
Medio Impreso;Perú 21;Perú 21;Los que no tienen plata también juegan - Carlos Basombrío Iglesias;En mi opinión	 estos cuatro meses de la primera etapa de la campaña quedan teñidos por un vicio muy grave	 que está alterando las condiciones mininas de igualdad para una contienda electoral. Me refiero al abuso del poder del dino para hacer campaña política encubierta usando los dineros de una universidad. (...) Hasta donde llego a saber	 hay otros 12 candidatos presidenciales. ¿Cómo van a lograr que sus propuestas lleguen con efectividad y equidad si hay tal distorsión en la capacidad económica de hacer publicidad? Y	 ojo	 más allá de simpatías o mías	 hay muchas candidaturas importantes que hoy están con 2% o menos. Se puede discrepar o coincidir con cada uno de ellos	 pero es importante que se escuchen	 también	 las voces de Mendoza	 Barnechea	 Belmont	 Flores-Aráoz	 Reggiardo	 Simon	 Hilario y Guzmán.;20/12/2015;2902.34;247.02;0;5;Carlos Miguel Ramón Basombrío Iglesias;Julio Guzmán Cáceres;Positivo;2015-12					
"Medio Impreso;La Nación;La Nación;""""""Relación con Toledo está deteriorada"""""";El congresista de Perú Posible Daniel Mora admitió que """"""está deteriorada"""""" su relación con Alejandro Toledo"	 ex mandatario y candidato presidencial de su partido para las elecciones del 2016.;10/12/2015;486.68;92.18;0;4;Daniel Emiliano Mora Zevallos;Alejandro Toledo Manrique;Negativo;2015-12																			
Televisión;TV Perú;TV Perú Noticias (Noche);Natalie Condori se une a APP (Canal 7);Natalie Condori se unió al partido Alianza Para el Progreso que impulsa la candidatura de César Acuña. Ella dijo que aportará su experiencia a favor de las políticas en beneficio de los trabajadores.;22/12/2015;2359.35;;90;;Gladys Natalie Condori Jahuira;César Acuña Peralta;Positivo;2015-12																				
Medio Impreso;La República;La República;El 36% de peruanos todavía no deciden por quién votar el 2016;Si bien hasta el momento el partido político con mayor respaldo en intención de voto es Fuerza Popular	 que tiene 30%	 el último sondeo de GfK revela otra cifra estadística mayor	" que seguramente será materia de análisis de los jefes de campaña: un 36% de peruanos aún no sabe por quién votará en las elecciones generales del 2016. (...) David Sulmont destacó que Fuerza Popular y el Apra son los dos únicos partidos de esta campaña que tienen """"""identidades políticas formadas en el país"""""". Eso no ocurre con los partidos de César Acuña y Pedro Pablo Kuczynski.;21/12/2015;7390.24;1100.06;0;7;Luis Benavente Gianella;Julio Guzmán Cáceres;Neutro;2015-12"																	
Web;El Comercio;elcomercio.pe;El poder presidencial en shock	 por Juan Paredes Castro;De lo que menos hablan Keiko Fujimori	 Pedro Pablo Kuczynski	 César Acuña y Alan García es de cuán decididos están a sacar el poder presidencial de su actual estado de shock. No se trata de que cada cual tenga una clara idea de gobernar y de cómo hacer las cosas desde el primer día y que eso basta para poner la institucionalidad presidencial en el nivel perdido	 en la legitimidad dilapidada y en la dirección extraviada. Hace falta que cada cual asuma un serio compromiso de cambio respecto a la estructura de mando más sensible del sistema político. El poder presidencial ha sufrido un daño profundo desde el comienzo del gobierno de Ollanta Humala	 con graves distorsiones e intromisiones en su interior	 con una Presidencia del Consejo de Ministros llevada a la devaluación de sus fines y medios y con vicepresidencias en permanente colisión y disolución. Lo menos parecido a una normalidad democrática. Lo más parecido a una autocracia rediviva.;20/12/2015;5994.53;;0;;Juan Paredes Castro;César Acuña Peralta;Neutro;2015-12														
Web;Perú 21;peru21.pe;Fredy Otárola: “Vamos a quitarle votos a César Acuña”;Entrevista. Fredy Otárola	 congresista de la República. (...) ¿Daniel Urresti ya es el candidato presidencial del nacionalismo? Hasta ahora es el único precandidato y yo voy a votar por él porque representa no solo el sentir del Partido Nacionalista sino también el de muchos peruanos que ven en él una alternativa por lo eficiente que fue como ministro. ¿No es un candidato distractor y el gallo de tapada es César Acuña? De ninguna manera	 ese es un chiste –no digamos de mal gusto– sin fundamento. Nosotros tenemos nuestro candidato –que espero sea Daniel Urresti–	 vamos a votar por él y vamos a quitarle votos a todos	 incluyendo al señor Acuña.;11/12/2015;1874.83;;0;;Fredy Rolando Otárola Peñaranda;César Acuña Peralta;Neutro;2015-12																
Medio Impreso;Exitosa;Exitosa Diario;Polémica por uso de Fondo de Estabilización para ’shock social’;Una de las puestas económicas que causó más polémica en la CADE empresarial salió de los labios de Keiko Fujimori: indicó que utilizaría cerca de 10 mil millones de dólares del Fondo de Estabilización Fiscal (FEF) para inyectarlos en infraestructura social y obras para los más necesitados	 a lo que ella llamó como ’shock social’	 esto lo mencionó en el marco de la CADE. Mientras que Juan Mendoza	 profesor de Economía de la Universidad del PacÍfico	 indicó que sería imprudente tocar ahora ese dinero	 porque el panorama fiscal alrededor del mundo ha cambiado.;07/12/2015;2948.03;364.32;0;5;Jorge González Izquierdo;Keiko Fujimori Higuchi;Negativo;2015-12															
Medio Impreso;Exitosa;Exitosa Diario;Polémica por uso de Fondo de Estabilización para ’shock social’;Una de las puestas económicas que causó más polémica en la CADE empresarial salió de los labios de Keiko Fujimori: indicó que utilizaría cerca de 10 mil millones de dólares del Fondo de Estabilización Fiscal (FEF) para inyectarlos en infraestructura social y obras para los más necesitados	 a lo que ella llamó como ’shock social’	 esto lo mencionó en el marco de la CADE. Mientras que Juan Mendoza	 profesor de Economía de la Universidad del PacÍfico	 indicó que sería imprudente tocar ahora ese dinero	 porque el panorama fiscal alrededor del mundo ha cambiado.;07/12/2015;2948.03;364.32;0;5;Juan Mendoza Pérez;Keiko Fujimori Higuchi;Negativo;2015-12															
Web;Perú 21;peru21.pe;Luis Davelouis: Una idea para CADE;Keiko	 PPK	 Alan	 Acuña y Toledo no saldrán de sus lugares comunes ni zonas de confort.. en CADE podrá estar representado el 70% del PBI y las billeteras más gordas	 pero los votos están en otro lado. CADE no puede hacerlos ganar	 pero los puede comprometer a trabajar en lo básico (seguridad y educación) y a que empiecen hoy	 con este gobierno	 no el 28 de julio.;06/12/2015;1874.83;;0;;Luis Davelouis Lengua;Alejandro Toledo Manrique;Neutro;2015-12													
Web;Correo;diariocorreo.pe;¿Usted entiende esto? - Juan Carlos Valdivia;Con Nadine trabajaron por un tiempo Verónica Mendoza y Sergio Tejada que se han reunido con Marisa Glave y otros exregidores de Villarán para impulsar un proyecto de izquierda. De Villarán también fue socio Vladimiro Huaroc en Fuerza Social (fundada por el primero	 pero que se la quedo la segunda). Hoy Huaroc es candidato a la vicepresidencia por el fujimorismo. Huaroc ha sido funcionario de este gobierno en la PCM	 donde compartió labores con Julio Guzmán	 también exfuncionario de este gobierno y autodenominado “outsider”. Otra socia de Villarán ha sido Anel Townsend	 quien ahora es candidata con Acuña.;23/12/2015;702.1;;0;;Juan Carlos Valdivia;César Acuña Peralta;Neutro;2015-12																
Radio;Radio San Borja;No hay Derecho;Declaraciones del director de la revista Poder David Rivera (San Borja);Enlace telefónico. El director de la revista Poder	 David Rivera	 aseguró que el fujimorismo perdió las elecciones en el 2011 por minimizar los casos de violación de derechos humanos que ocurrieron en el gobierno de su padre. Agregó que eso habría provocado un cambio de discurso de Keiko Fujimori. Rivera recordó que Pedro Pablo Kuczynski logró el respaldo de Fernando Rospigliosi	 quien también había conversado con Keiko Fujimori. En otro momento	 afirmó que César Acuña sería derrotado por Keiko en una segunda vuelta.;02/12/2015;1327.87;;1241;;David Rivera Del Águila;César Acuña Peralta;Negativo;2015-12																
Radio;Exitosa;Exitosa Noticias;Entrevista al analista político	 José Cevasco (Exitosa);Entrevista. El analista político José Cevasco opinó que es errónea las declaraciones de Daniel Urresti respecto a la convocatoria de Susana Villarán por su experiencia u honradez	 además	 destacó que habría una estrategia detrás de los calificativos de Eliane Karp contra Keiko Fujimori	 Alan García y PPK. Por otro lado	 hizo énfasis a los cuestionamientos que han seguido al actual gobierno. Se recibieron llamadas del público.;28/12/2015;2732.94;;1446;;José Cevasco;Alan García Pérez;Neutro;2015-12															
Web;Correo;diariocorreo.pe;El menú de candidatos - Renato Sandoval;Intentemos echarle un poco de humor a la campaña y pongamos en el papel de guardianes de casa a cinco candidatos presidenciales. A quién de ellos le dejaría cuidando a sus hijos. Sin escabullirse en la negación porque el próximo año a alguien tenemos que dejarle la casa por un quinquenio. PPK podría ser el abuelo que engríe al nieto. Ya no correría detrás del pequeño	 sino solo observaría y lo educaría con mano firme como la de un ministro de Economía. El niño aprendería a hacer negocio y le daría más valor al dinero que a su propia vida. César Acuña no se ve como un mal padre	 pero todo lo resolvería con dinero. Inclusive si el niño hiciera un berrinche	 le compraría el llanto por gotas y de yapa su beca para la universidad. El niño no leería ni Coquito y se la pasaría mirando Esto es guerra y Combate.;11/12/2015;702.1;326.28;0;;Renato Sandoval Gonzáles;Alejandro Toledo Manrique;Neutro;2015-12																	
"Medio Impreso;Exitosa;Exitosa Diario;Perú Posible asegura ser un """"""partido profamilia"""""";La integrante del Comité electoral de Perú Posible"	 Doris Sánchez	" intentó explicar las declaraciones de su líder el candidato presidencial Alejandro Toledo quien al ser consultado sobre la unión de dos personas del mismo sexo respondió: """""""	 La unión civil? Yo soy hombre	" hermano"""""".(...) La también exministra señaló que la unión civil fue una propuesta promovida por Carlos Bruce en la campaña anterior y recalcó que para cualquier partido político que participe en estas elecciones le es difícil dar una respuesta concreta sobre este tema. """"""Hasta el mismo PPK da respuestas tangenciales sobre la unión civil"""""""	 aseveró.;11/12/2015;2953.02;395.07;0;6;Doris Sánchez Pinedo;Alejandro Toledo Manrique;Positivo;2015-12															
Web;Correo;diariocorreo.pe;Aguinaga a Toledo: Se hace el bueno porque está a punto de desaparecer;Luego que el expresidente Alejandro Toledo no descartara la posibilidad de indultar a Alberto Fujimori en caso su vida esté en riesgo	 el congresista de Fuerza Popular Alejandro Aguinaga calificó de oportunistas las declaraciones del exmandatario.;23/12/2015;702.1;;0;;Alejandro Aurelio Aguinaga Recuenco;Alejandro Toledo Manrique;Negativo;2015-12																			
Radio;Exitosa;Juan Carlos Tafur en Exitosa;Entrevista al expremier e integrante de Alianza Para el Progreso	 César Villanueva (Exitosa);Entrevista. El expremier e integrante de Alianza Para el Progreso	 César Villanueva	 comentó sobre su inclusión al plan de gobierno de César Acuña. En primer	 lugar refirió que su inclusión responde a una coincidencia de planes vinculados a la descentralización y cómo mantenerla a través de corredores macro económicos. En temas de inversión	 sostuvo que se deberá respetar al suelo y comunidades llegando a un consenso – en aspectos mineros – dando solución de conflictos mineros gracias a un ordenamiento territorial	 consulta previa u otros. Recordó el caso Lote 192 donde los nativos reclamaban beneficios desde hace años y se sentaron en una mesa de diálogo. Sobre el pedido de restricción contra Acuña Peralta para ejercer cargos públicos	 espera que esto se aclare ante las autoridades pertinentes.;17/12/2015;2655.45;;1405;;César Villanueva Arévalo;Keiko Fujimori Higuchi;Neutro;2015-12													
Medio Impreso;El Comercio;El Comercio Cuerpo A;Nadine Heredia critica propuestas de Keiko Fujimori en CADE;La primera dama Nadine Heredia cuestionó las propuestas de gobierno de la candidata por Fuerza Popular	 Keiko Fujimori	 en CADE 2015 y consideró que mostró “desconocimiento” de la gestión pública. “¡Claro! Si los años en que fue congresista se dedicó a viajar financiada por todos los peruanos. No es extraño que con tanto ímpetu hable de la creación de un SNIP regional que ya existe	 la disminución de impuestos y la satanización de instituciones como el MEF	 la Sunat o el Ministerio de Trabajo”	 dijo a la Agencia Andina.;08/12/2015;3137.5;190.31;0;6;Nadine Heredia Alarcón;Keiko Fujimori Higuchi;Negativo;2015-12															
Televisión;Latina;90 Segundos Sábados;Astrólogo Francisco Choy pronostica segunda vuelta entre Keiko y César Acuña (Canal 2);El astrólogo Francisco Choy pronosticó que una probable segunda vuelta se daría entre los candidatos César Acuña y Keiko Fujimori.;26/12/2015;13495.68;;528;;Francisco Choy;Keiko Fujimori Higuchi;Positivo;2015-12																				
Web;Correo;diariocorreo.pe;El menú de candidatos - Renato Sandoval;Intentemos echarle un poco de humor a la campaña y pongamos en el papel de guardianes de casa a cinco candidatos presidenciales. A quién de ellos le dejaría cuidando a sus hijos. Sin escabullirse en la negación porque el próximo año a alguien tenemos que dejarle la casa por un quinquenio. PPK podría ser el abuelo que engríe al nieto. Ya no correría detrás del pequeño	 sino solo observaría y lo educaría con mano firme como la de un ministro de Economía. El niño aprendería a hacer negocio y le daría más valor al dinero que a su propia vida. César Acuña no se ve como un mal padre	 pero todo lo resolvería con dinero. Inclusive si el niño hiciera un berrinche	 le compraría el llanto por gotas y de yapa su beca para la universidad. El niño no leería ni Coquito y se la pasaría mirando Esto es guerra y Combate.;11/12/2015;702.1;326.28;0;;Renato Sandoval Gonzáles;César Acuña Peralta;Neutro;2015-12																	
Medio Impreso;Trome;Trome;Dan con palo a Susana;Las críticas a Susana Villarán por integrar la plancha presidencial del nacionalismo	 al lado de Daniel Urresti (enjuiciado por el asesinato del periodista Hugo Bustíos	 en 1988)	 no solo vinieron de sus adversarios políticos	 sino también de personas cercanas. (...) En tanto	 el exregidor Augusto Rey le dijo a Villarán que 'existe muchas maneras de combatir al fujimorismo	" pero al lado de Urresti no es una de ellas"""""".;23/12/2015;7966.46;326.28;0;8;Augusto Rey Hernández de Agüero;Daniel Urresti Elera;Neutro;2015-12"														
"Medio Impreso;Exitosa;Exitosa Diario;Perú Posible asegura ser un """"""partido profamilia"""""";La integrante del Comité electoral de Perú Posible"	 Doris Sánchez	" intentó explicar las declaraciones de su líder el candidato presidencial Alejandro Toledo quien al ser consultado sobre la unión de dos personas del mismo sexo respondió: """""""	 La unión civil? Yo soy hombre	" hermano"""""".(...) La también exministra señaló que la unión civil fue una propuesta promovida por Carlos Bruce en la campaña anterior y recalcó que para cualquier partido político que participe en estas elecciones le es difícil dar una respuesta concreta sobre este tema. """"""Hasta el mismo PPK da respuestas tangenciales sobre la unión civil"""""""	 aseveró.;11/12/2015;2953.02;395.07;0;6;Carlos Ricardo Bruce Montes De Oca;Alejandro Toledo Manrique;Negativo;2015-12															
Radio;Capital;Phillip Butters;Entrevista al analista político Mario Saldaña (Capital);Entrevista. El analista político Mario Saldaña opinó sobre las planchas presidenciales presentadas hasta el momento y sostuvo que la que más le llamó la atención fue la del PPC con el APRA	 sin embargo	 expresó que la presentación de Susana Villarán en la plancha de Daniel Urresti	 ha causado gran revuelo	 ante lo cual cuestionó sus principios. Sobre la de Alejandro Toledo	 manifestó que no tenía muchas opciones	 mientras que la presencia de Vladimir Huaróc	 en el grupo de la candidata Keiko Fujimori	 también hace dudar mucho de sus principios. Asimismo	 manifestó que es “impresionante el nivel de cambalache que estamos viendo”. Durante la entrevista hubo un enlace con el candidato de Acción Popular	 Alfredo Barrenechea	 quien señaló que recibió el resultado fue muy abrumador ya que ganó en casi todos los departamentos del país	 lo cual significa una gran responsabilidad. Informó que su plancha también fue electa ayer y esta compuesta con Víctor Andrés García Belaunde. La entrevista contó con la participación de los oyentes.;21/12/2015;8009.05;;2335;;Mario Saldaña Castro;Alan García Pérez;Neutro;2015-12								
Web;La República;larepublica.pe;Flores Nano postulará a la primera vicepresidencia;Luego de hacerse oficial la alianza Apra-PPC	 ayer se realizaron las elecciones para delegados del Partido Popular Cristiano (PPC) y en las próximas horas se formalizará la inclusión de Lourdes Flores en la primera vicepresidencia de una plancha presidencial encabezada por Alan García. Al pronunciarse oficialmente sobre la alianza	" Flores calificó que este es """"""un paso de madurez"""""" pues son dos grupos que buscan un gobierno en conjunto por el bien del país.;14/12/2015;1014.43;;0;;Lourdes Flores Nano;Alan García Pérez;Positivo;2015-12"																		
Radio;RPP;Enfoque de los Sábados;Entrevista al presidente de IPAE – Acción Empresarial	 Gonzalo Aguirre	 y a la presidenta de CADE 2015	 Elena Conterno (RPP);Entrevista. El presidente de IPAE – Acción Empresarial	 Gonzalo Aguirre	 destacó la participación de los cinco candidatos presidenciales que lideran las encuestas durante la CADE 2015 en Paracas. En su análisis sobre las propuestas que se hicieron sostuvo que los postulantes tuvieron un consenso para destrabar el Estado y remarcó que no tenemos ningún candidato antisistema. “Keiko Fujimori hizo una presentación muy clara y preparada. Se ha esmerado en ser sumamente académica en su presentación”	 resaltó. Además	 comentó sobre la presentación de Pedro Pablo Kuczynski y los expresidentes Alan García y Alejandro Toledo. Por su parte	 la presidenta de CADE 2015	 Elena Conterno	 resaltó que mediante este evento se haya logrado generar un conjunto de propuestas para los temas que se habían planteado en diferentes sectores.;05/12/2015;9438;;858;;Gonzalo Aguirre Arriz;Alan García Pérez;Neutro;2015-12										
Radio;RPP;Enfoque de los Sábados;Entrevista al presidente de IPAE – Acción Empresarial	 Gonzalo Aguirre	 y a la presidenta de CADE 2015	 Elena Conterno (RPP);Entrevista. El presidente de IPAE – Acción Empresarial	 Gonzalo Aguirre	 destacó la participación de los cinco candidatos presidenciales que lideran las encuestas durante la CADE 2015 en Paracas. En su análisis sobre las propuestas que se hicieron sostuvo que los postulantes tuvieron un consenso para destrabar el Estado y remarcó que no tenemos ningún candidato antisistema. “Keiko Fujimori hizo una presentación muy clara y preparada. Se ha esmerado en ser sumamente académica en su presentación”	 resaltó. Además	 comentó sobre la presentación de Pedro Pablo Kuczynski y los expresidentes Alan García y Alejandro Toledo. Por su parte	 la presidenta de CADE 2015	 Elena Conterno	 resaltó que mediante este evento se haya logrado generar un conjunto de propuestas para los temas que se habían planteado en diferentes sectores.;05/12/2015;9438;;858;;Gonzalo Aguirre Arriz;Pedro Pablo Kuczynski Godard;Neutro;2015-12										
Web;Exitosa;exitosadiario.pe;Rolando Reátegui: Carlos Raffo fue contratado por César Acuña;La columna del excongresista fujimorista Carlos Raffo publicada en diario Exitosa	 donde presagia que la candidata Keiko Fujimori no pasará a segunda vuelta en las próximas elecciones	 ha sacado 'chispas' en la bancada de Fuerza Popular. Rolando Reátegui	 uno de los legisladores que le salió al frente	 no descarta que Raffo haya sido contratado por el candidato presidencial de Alianza para el Progreso	 César Acuña	" con el propósito de atacar a Keiko. """"""Le tengo mucho cariño"	 es un gran comunicador. No sé quién lo ha contratado o con quién debe estar trabajando	 debe ser con (César) Acuña o con cualquiera de los candidatos	" pero creo que está errado"""""""	 manifestó.;11/12/2015;71.5;;0;;Rolando Reátegui Flores;Keiko Fujimori Higuchi;Positivo;2015-12										
